period,nerc.region,demand.mwh,SO2
2020-01-01T00,RFC,192056,0
2020-01-01T01,RFC,186730,0
2020-01-01T02,RFC,181146,0
2020-01-01T03,RFC,175814,0
2020-01-01T04,RFC,170452,0
2020-01-01T05,RFC,167068,0
2020-01-01T06,RFC,162438,0
2020-01-01T07,RFC,158920,0
2020-01-01T08,RFC,156192,0
2020-01-01T09,RFC,155132,0
2020-01-01T10,RFC,155430,0
2020-01-01T11,RFC,156816,0
2020-01-01T12,RFC,160682,0
2020-01-01T13,RFC,164294,0
2020-01-01T14,RFC,165586,0
2020-01-01T15,RFC,166470,0
2020-01-01T16,RFC,166626,0
2020-01-01T17,RFC,165896,0
2020-01-01T18,RFC,164834,0
2020-01-01T19,RFC,163300,0
2020-01-01T20,RFC,162406,0
2020-01-01T21,RFC,161980,0
2020-01-01T22,RFC,167364,0
2020-01-01T23,RFC,180760,0
2020-01-02T00,RFC,185340,0
2020-01-02T01,RFC,185726,0
2020-01-02T02,RFC,184788,0
2020-01-02T03,RFC,180896,0
2020-01-02T04,RFC,174522,0
2020-01-02T05,RFC,169464,0
2020-01-02T06,RFC,165404,0
2020-01-02T07,RFC,164208,0
2020-01-02T08,RFC,166600,0
2020-01-02T09,RFC,167014,0
2020-01-02T10,RFC,169052,0
2020-01-02T11,RFC,177404,0
2020-01-02T12,RFC,191780,0
2020-01-02T13,RFC,201998,0
2020-01-02T14,RFC,201484,0
2020-01-02T15,RFC,196484,0
2020-01-02T16,RFC,191570,0
2020-01-02T17,RFC,187148,0
2020-01-02T18,RFC,183762,0
2020-01-02T19,RFC,181908,0
2020-01-02T20,RFC,180582,0
2020-01-02T21,RFC,180256,0
2020-01-02T22,RFC,184748,0
2020-01-02T23,RFC,194750,0
2020-01-03T00,RFC,195652,0
2020-01-03T01,RFC,192232,0
2020-01-03T02,RFC,187746,0
2020-01-03T03,RFC,180620,0
2020-01-03T04,RFC,171960,0
2020-01-03T05,RFC,164476,0
2020-01-03T06,RFC,157188,0
2020-01-03T07,RFC,154018,0
2020-01-03T08,RFC,153342,0
2020-01-03T09,RFC,153120,0
2020-01-03T10,RFC,153578,0
2020-01-03T11,RFC,157680,0
2020-01-03T12,RFC,169202,0
2020-01-03T13,RFC,178144,0
2020-01-03T14,RFC,181014,0
2020-01-03T15,RFC,181800,0
2020-01-03T16,RFC,182374,0
2020-01-03T17,RFC,182406,0
2020-01-03T18,RFC,181822,0
2020-01-03T19,RFC,181230,0
2020-01-03T20,RFC,179946,0
2020-01-03T21,RFC,179270,0
2020-01-03T22,RFC,182174,0
2020-01-03T23,RFC,188124,0
2020-01-04T00,RFC,186846,0
2020-01-04T01,RFC,183076,0
2020-01-04T02,RFC,178690,0
2020-01-04T03,RFC,173128,0
2020-01-04T04,RFC,166018,0
2020-01-04T05,RFC,159420,0
2020-01-04T06,RFC,152940,0
2020-01-04T07,RFC,149292,0
2020-01-04T08,RFC,147766,0
2020-01-04T09,RFC,145928,0
2020-01-04T10,RFC,145650,0
2020-01-04T11,RFC,147420,0
2020-01-04T12,RFC,150512,0
2020-01-04T13,RFC,155208,0
2020-01-04T14,RFC,160168,0
2020-01-04T15,RFC,165372,0
2020-01-04T16,RFC,168906,0
2020-01-04T17,RFC,170416,0
2020-01-04T18,RFC,169974,0
2020-01-04T19,RFC,169302,0
2020-01-04T20,RFC,168162,0
2020-01-04T21,RFC,168786,0
2020-01-04T22,RFC,173080,0
2020-01-04T23,RFC,180658,0
2020-01-05T00,RFC,182038,0
2020-01-05T01,RFC,180164,0
2020-01-05T02,RFC,178380,0
2020-01-05T03,RFC,174990,0
2020-01-05T04,RFC,170136,0
2020-01-05T05,RFC,164274,0
2020-01-05T06,RFC,158634,0
2020-01-05T07,RFC,157344,0
2020-01-05T08,RFC,156844,0
2020-01-05T09,RFC,157958,0
2020-01-05T10,RFC,159638,0
2020-01-05T11,RFC,160804,0
2020-01-05T12,RFC,163834,0
2020-01-05T13,RFC,169704,0
2020-01-05T14,RFC,173400,0
2020-01-05T15,RFC,175372,0
2020-01-05T16,RFC,175888,0
2020-01-05T17,RFC,176348,0
2020-01-05T18,RFC,175920,0
2020-01-05T19,RFC,175184,0
2020-01-05T20,RFC,174992,0
2020-01-05T21,RFC,174784,0
2020-01-05T22,RFC,180404,0
2020-01-05T23,RFC,191872,0
2020-01-06T00,RFC,196114,0
2020-01-06T01,RFC,195484,0
2020-01-06T02,RFC,194024,0
2020-01-06T03,RFC,188024,0
2020-01-06T04,RFC,179688,0
2020-01-06T05,RFC,173040,0
2020-01-06T06,RFC,168360,0
2020-01-06T07,RFC,166624,0
2020-01-06T08,RFC,165064,0
2020-01-06T09,RFC,165052,0
